Category,Item,Pack Size,Price,UPC,Sizes on this card,Possible Sinclair match,Match confidence,Sinclair search
Meat & Seafood,"PICKLE LOAF, OM",8 oz,5.75,4470001041,,,,https://shop.sinclairsfoods.com/shop#!/?q=PICKLE%20LOAF%2C%20OM
Meat & Seafood,PORK BUTT ~5lb,EA,17.45,,2,Pork Butt Roast,strong,https://shop.sinclairsfoods.com/shop#!/?q=PORK%20BUTT
Meat & Seafood,PORK BUTT ~8lb,EA,27.92,,2,Pork Butt Roast,strong,https://shop.sinclairsfoods.com/shop#!/?q=PORK%20BUTT
Meat & Seafood,PORK STEAKS,2 pk,7,,,Family Pack Pork Steaks,weak,https://shop.sinclairsfoods.com/shop#!/?q=PORK%20STEAKS
Meat & Seafood,RAW GREEN SHRIMP,2#,18.99,,,,,https://shop.sinclairsfoods.com/shop#!/?q=RAW%20GREEN%20SHRIMP
Meat & Seafood,SAUSAGE CIRCLE B,28 oz,4.49,2980041812,,,,https://shop.sinclairsfoods.com/shop#!/?q=SAUSAGE%20CIRCLE%20B
Meat & Seafood,"SHRIMP, BREADED",3#,23.99,,,BREADED SHRIMP,strong,https://shop.sinclairsfoods.com/shop#!/?q=SHRIMP%2C%20BREADED
Meat & Seafood,"SHRIMP, P&D 21/25 CT",2#,18.99,,,,,https://shop.sinclairsfoods.com/shop#!/?q=SHRIMP%2C%20P%26D%2021/25%20CT
Meat & Seafood,SMALL HAM HOCK,4 pk,4,,,,,https://shop.sinclairsfoods.com/shop#!/?q=SMALL%20HAM%20HOCK
Meat & Seafood,"STEAK, BEEF FILET",EA,16.99,,,,,https://shop.sinclairsfoods.com/shop#!/?q=STEAK%2C%20BEEF%20FILET
Meat & Seafood,TN PRIDE HOT ROLL SAUSAGE,1#,6.69,7229000001,,,,https://shop.sinclairsfoods.com/shop#!/?q=TN%20PRIDE%20HOT%20ROLL%20SAUSAGE
Meat & Seafood,"TURKEY, WHOLE 12-16",16#,27.04,,,,,https://shop.sinclairsfoods.com/shop#!/?q=TURKEY%2C%20WHOLE%2012-16
Meat & Seafood,"TURKEY, WHOLE BC 18-20#",20#,33.8,,,,,https://shop.sinclairsfoods.com/shop#!/?q=TURKEY%2C%20WHOLE%20BC%2018-20%23
Meat & Seafood,"VEAL CUTLET, BREADED 4 oz",EA,2.13,,,,,https://shop.sinclairsfoods.com/shop#!/?q=VEAL%20CUTLET%2C%20BREADED%204%20oz
Meat & Seafood,WHOLE BEEF TENDERLOIN ~6lb,EA,92.94,,,,,https://shop.sinclairsfoods.com/shop#!/?q=WHOLE%20BEEF%20TENDERLOIN
Meat & Seafood,WHOLE RIBEYE LOIN            17#,EA,305.83,,,,,https://shop.sinclairsfoods.com/shop#!/?q=WHOLE%20RIBEYE%20LOIN%20%20%20%20%20%20%20%20%20%20%20%2017%23
Pantry & Grocery,A J PLAIN CORN MEAL,5 LB,4.15,3000003100,,,,https://shop.sinclairsfoods.com/shop#!/?q=A%20J%20PLAIN%20CORN%20MEAL
Pantry & Grocery,AL SAVE IMT VAN EXT,8 oz,1.49,7003830315,,,,https://shop.sinclairsfoods.com/shop#!/?q=AL%20SAVE%20IMT%20VAN%20EXT
Pantry & Grocery,AUNT JEMIMA SYRUP,24 oz,3.75,3000005970,,,,https://shop.sinclairsfoods.com/shop#!/?q=AUNT%20JEMIMA%20SYRUP
Pantry & Grocery,BC AU GRATIN POTATO,4.7 oz,2.79,1600027488,,,,https://shop.sinclairsfoods.com/shop#!/?q=BC%20AU%20GRATIN%20POTATO
Pantry & Grocery,BC HMB HLP BEEF PAST,5.9 oz,2.49,1600041729,,,,https://shop.sinclairsfoods.com/shop#!/?q=BC%20HMB%20HLP%20BEEF%20PAST
Pantry & Grocery,BC HMB HLP CHSBURGER,6 oz,2.49,1600040212,,BC HMB HLP SALISBURY,weak,https://shop.sinclairsfoods.com/shop#!/?q=BC%20HMB%20HLP%20CHSBURGER
Pantry & Grocery,BC HMB HLP LASAGNA,6.9 oz,2.49,1600041751,,BC HMB HLP SPAGHETTI,weak,https://shop.sinclairsfoods.com/shop#!/?q=BC%20HMB%20HLP%20LASAGNA
Pantry & Grocery,BST-CH RED GRFRT SEC,15 oz,1.99,7003831656,,,,https://shop.sinclairsfoods.com/shop#!/?q=BST-CH%20RED%20GRFRT%20SEC
Pantry & Grocery,BUNNY BROWN SERVE ROLL,DZ,2.99,2412601023,,,,https://shop.sinclairsfoods.com/shop#!/?q=BUNNY%20BROWN%20SERVE%20ROLL
Pantry & Grocery,C4,EA,2.99,,,,,https://shop.sinclairsfoods.com/shop#!/?q=C4
Pantry & Grocery,CELSIUS,4PK,9.49,,,,,https://shop.sinclairsfoods.com/shop#!/?q=CELSIUS
Pantry & Grocery,CRISCO BTR FLV SHORT,3 LB,10.95,5150024241,,,,https://shop.sinclairsfoods.com/shop#!/?q=CRISCO%20BTR%20FLV%20SHORT
Pantry & Grocery,CRISCO SHORTENING,3 LB,10.95,5150024234,,,,https://shop.sinclairsfoods.com/shop#!/?q=CRISCO%20SHORTENING
Pantry & Grocery,CRISCO VEG OIL,128 oz,17.55,5150099283,,,,https://shop.sinclairsfoods.com/shop#!/?q=CRISCO%20VEG%20OIL
Pantry & Grocery,DH DEC GRM CHOC CAKE,21 oz,3.49,64420941340,,,,https://shop.sinclairsfoods.com/shop#!/?q=DH%20DEC%20GRM%20CHOC%20CAKE
Pantry & Grocery,DH RTS COCONUT PECAN,15 oz,2.75,64420900456,,,,https://shop.sinclairsfoods.com/shop#!/?q=DH%20RTS%20COCONUT%20PECAN
Pantry & Grocery,F RICH BRDED MUSHROOMS,18 oz,9.49,4132262510,,,,https://shop.sinclairsfoods.com/shop#!/?q=F%20RICH%20BRDED%20MUSHROOMS
Pantry & Grocery,F RICH JALPENO PEPPR,18 oz,9.49,4132235653,,,,https://shop.sinclairsfoods.com/shop#!/?q=F%20RICH%20JALPENO%20PEPPR
Pantry & Grocery,F RICH MOZZ CHS STIK,24 oz,9.49,4132231141,,,,https://shop.sinclairsfoods.com/shop#!/?q=F%20RICH%20MOZZ%20CHS%20STIK
Pantry & Grocery,FL FAMILY SIZE DORITOS,15 oz,5.59,2840064203,,,,https://shop.sinclairsfoods.com/shop#!/?q=FL%20FAMILY%20SIZE%20DORITOS
Pantry & Grocery,FL FAMILY SIZE LAYS BBQ,9.5 oz,4.69,2840064524,,,,https://shop.sinclairsfoods.com/shop#!/?q=FL%20FAMILY%20SIZE%20LAYS%20BBQ
Pantry & Grocery,FL FAMILY SIZE LAYS CLASSIC,10 oz,4.69,2840064549,,,,https://shop.sinclairsfoods.com/shop#!/?q=FL%20FAMILY%20SIZE%20LAYS%20CLASSIC
Pantry & Grocery,FL FAMILY SIZE LAYS SCO,9.5 oz,4.69,2840064641,,,,https://shop.sinclairsfoods.com/shop#!/?q=FL%20FAMILY%20SIZE%20LAYS%20SCO
Pantry & Grocery,FL XXVL FUNYONS,6.5 oz,5.89,2840024018,,,,https://shop.sinclairsfoods.com/shop#!/?q=FL%20XXVL%20FUNYONS
Pantry & Grocery,FLGR CLASSIC CAN,30.5 oz,12.45,2550020421,,,,https://shop.sinclairsfoods.com/shop#!/?q=FLGR%20CLASSIC%20CAN
Pantry & Grocery,FLVRPAC ASPRGS CUTS,8 oz,2.79,4880001151,,,,https://shop.sinclairsfoods.com/shop#!/?q=FLVRPAC%20ASPRGS%20CUTS
Pantry & Grocery,FOLGER CLASSIC KCUP,12 ct,8.69,2550020212,,,,https://shop.sinclairsfoods.com/shop#!/?q=FOLGER%20CLASSIC%20KCUP
Pantry & Grocery,FOLGER DCAF CLAS CAN,22.6 oz,13.35,2550000374,,,,https://shop.sinclairsfoods.com/shop#!/?q=FOLGER%20DCAF%20CLAS%20CAN
Pantry & Grocery,FRENCH BREAD,LOAF,1.99,BAKERY,,French Bread,strong,https://shop.sinclairsfoods.com/shop#!/?q=FRENCH%20BREAD
Pantry & Grocery,GG MEXICORN,11 oz,2.25,2000010453,,,,https://shop.sinclairsfoods.com/shop#!/?q=GG%20MEXICORN
Pantry & Grocery,GG WHL ASPARAGUS SPR,15 oz,4.15,2000010039,,,,https://shop.sinclairsfoods.com/shop#!/?q=GG%20WHL%20ASPARAGUS%20SPR
Pantry & Grocery,GG WK WHITE CORN,11 oz,2.25,2000010546,,,,https://shop.sinclairsfoods.com/shop#!/?q=GG%20WK%20WHITE%20CORN
Pantry & Grocery,GM CHEERIOS CEREAL,18 oz,5.69,1600027528,,Cheerios Cereal 8.9 oz,weak,https://shop.sinclairsfoods.com/shop#!/?q=GM%20CHEERIOS%20CEREAL
Pantry & Grocery,GM HNY NUT CHEERIOS,19.5 oz,5.69,1600012315,,,,https://shop.sinclairsfoods.com/shop#!/?q=GM%20HNY%20NUT%20CHEERIOS
Pantry & Grocery,HONEY MAID GRAM CRKRS FAM SZ,25.6 oz,5.95,4400004717,,,,https://shop.sinclairsfoods.com/shop#!/?q=HONEY%20MAID%20GRAM%20CRKRS%20FAM%20SZ
Pantry & Grocery,HSBRWN PTY,10 ct,4.29,7968554324,,,,https://shop.sinclairsfoods.com/shop#!/?q=HSBRWN%20PTY
Pantry & Grocery,HZ SQZ SPICY MUSTARD,14 oz,1.89,1300064048,,,,https://shop.sinclairsfoods.com/shop#!/?q=HZ%20SQZ%20SPICY%20MUSTARD
Pantry & Grocery,JELLO SF INS VAN PUDDN,1 oz,1.65,4300020552,,,,https://shop.sinclairsfoods.com/shop#!/?q=JELLO%20SF%20INS%20VAN%20PUDDN
Pantry & Grocery,KAHIKI CKN EGG ROLLS,11.6 oz,3.99,5434720107,,,,https://shop.sinclairsfoods.com/shop#!/?q=KAHIKI%20CKN%20EGG%20ROLLS
Pantry & Grocery,KAHIKI PORK EGG RLS,11.6 oz,3.99,5434720111,,,,https://shop.sinclairsfoods.com/shop#!/?q=KAHIKI%20PORK%20EGG%20RLS
